esn	owner	place	name	model_doc	year
33200209	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33200209	QSK50	2001
33211219	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211219	QSK50	2001
33210768	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33210768	QSK50	2001
33211641	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211641	QSK50	2001
33211169	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211169	QSK50	2001
33212689	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33212689	QSK50	2001
33211363	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211363	QSK50	2001
33203638	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33203638	QSK50	2001
33211382	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211382	QSK50	2001
33211556	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211556	QSK50	2001
33211271	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211271	QSK50	2001
33211802	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33211802	QSK50	2001
33210806	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33210806	QSK50	2001
33221821	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33221821	QSK50	2017
33200155	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33200155	QSK50	2017
33210861	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33210861	QSK50	2017
33210940	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33210940	QSK50	2001
33226199	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33226199	QSK50	1900
33203575	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33203575	QSK50	
33223470	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №33223470	QSK50	
41340468	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu 730E	ДВС QSK50 №41340468	QSK50	2022
33224404	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов Komatsu HD1500	ДВС QSK50 №33224404	QSK50	2021
33232872	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232872	QSK50	
33232758	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232758	QSK50	
33232946	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232946	QSK50	2023
33232852	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232852	QSK50	2023
33232851	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232851	QSK50	2023
33231742	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33231742	QSK50	2023
33232925	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232925	QSK50	2023
33232947	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33232947	QSK50	2023
33230198	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33230198	QSK50	2023
33229401	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33229401	QSK50	2023
33230197	АО "Полюс Магадан"	АТЦ_Парк автосамосвалов NHL NTE200	ДВС QSK50 №33230197	QSK50	2023
